Year,Bounds,Value
2000,LB,0.77719
2000,MP,0.79395
2000,UB,0.80462
2001,LB,0.77137
2001,MP,0.78997
2001,UB,0.80091
2002,LB,0.76452
2002,MP,0.78646
2002,UB,0.79823
2003,LB,0.76355
2003,MP,0.78351
2003,UB,0.79563
2004,LB,0.75747
2004,MP,0.77947
2004,UB,0.79343
2005,LB,0.75524
2005,MP,0.77681
2005,UB,0.79177
2006,LB,0.74832
2006,MP,0.77309
2006,UB,0.78986
2007,LB,0.74362
2007,MP,0.76968
2007,UB,0.78703
2008,LB,0.73918
2008,MP,0.76555
2008,UB,0.78588
2009,LB,0.73255
2009,MP,0.76225
2009,UB,0.78341
2010,LB,0.72614
2010,MP,0.75834
2010,UB,0.78203
2011,LB,0.72377
2011,MP,0.75635
2011,UB,0.78042
2012,LB,0.71327
2012,MP,0.75224
2012,UB,0.78025
2013,LB,0.70885
2013,MP,0.7497
2013,UB,0.77822
2014,LB,0.70218
2014,MP,0.74543
2014,UB,0.77786
2015,LB,0.68824
2015,MP,0.74381
2015,UB,0.77702
2016,LB,0.68959
2016,MP,0.74106
2016,UB,0.77676
2017,LB,0.67998
2017,MP,0.73798
2017,UB,0.77654
2018,LB,0.67438
2018,MP,0.73346
2018,UB,0.77594
2019,LB,0.66773
2019,MP,0.73148
2019,UB,0.77536
