Year,구분,Value
2010,Exported,56782198712
2011,Exported,60390623208
2012,Exported,65482297548
2013,Exported,64863567763
2014,Exported,64535133079
2015,Exported,61194468141
2016,Exported,53624618044
2017,Exported,56195627474
2018,Exported,56959654916
2019,Exported,51004588861
2020,Exported,47251535197
2010,수입액,33454364003
2011,수입액,36051684687
2012,수입액,37591024092
2013,수입액,40664454256
2014,수입액,40851677851
2015,수입액,38218296053
2016,수입액,33757969541
2017,수입액,36278865269
2018,수입액,38259399060
2019,수입액,35518811311
2020,수입액,35762317471
