Year,Value,Units
2004,11946076,data.Wastewater_generation
2004,49053,data.Excretions
2005,16832611,data.Wastewater_generation
2005,47627,data.Excretions
2006,16919995,data.Wastewater_generation
2006,47094,data.Excretions
2007,16744875,data.Wastewater_generation
2007,44766,data.Excretions
2008,17113106,data.Wastewater_generation
2008,46420,data.Excretions
2009,16681388,data.Wastewater_generation
2009,48749,data.Excretions
2010,16111195,data.Wastewater_generation
2010,46189,data.Excretions
2011,18660763,data.Wastewater_generation
2011,42358,data.Excretions
2012,15722166,data.Wastewater_generation
2012,41747,data.Excretions
2013,15148299,data.Wastewater_generation
2013,62011,data.Excretions
2014,16256451,data.Wastewater_generation
2014,36447,data.Excretions
2015,14975476,data.Wastewater_generation
2015,37893,data.Excretions
2016,14392658,data.Wastewater_generation
2016,41343,data.Excretions
