Year,Sex,Value
2000,,127.008562471215
2000,Male,131.79629972209
2000,Female,121.733173848503
2001,,128.782014970334
2001,Male,135.632100200142
2001,Female,121.059250289165
2002,,121.286690243006
2002,Male,129.037717034256
2002,Female,112.574117160504
2003,,117.67576221523
2003,Male,128.400297402701
2003,Female,105.967900158456
2004,,110.12485524988
2004,Male,116.466346697352
2004,Female,103.594934811097
2005,,96.7012514334148
2005,Male,101.909552522278
2005,Female,90.9142062741693
2006,,95.0150327394728
2006,Male,101.418781518159
2006,Female,88.2947505757551
2007,,95.6765698548572
2007,Male,101.866443700607
2007,Female,88.9776912231339
2008,,88.5008281162013
2008,Male,92.996833391764
2008,Female,83.2122650711603
2009,,79.9874140157079
2009,Male,81.4839437062272
2009,Female,78.2387104986752
2010,,82.947978592942
2010,Male,93.6188676630246
2010,Female,71.8856927554888
2011,,78.9190738206586
2011,Male,86.5522846620089
2011,Female,70.7471065629902
2012,,76.6685840357778
2012,Male,83.8173414242865
2012,Female,69.0589372188021
2013,,71.2423864301033
2013,Male,74.9514302021821
2013,Female,67.314715757454
2014,,69.385205677171
2014,Male,73.6832404583658
2014,Female,64.9557509166677
2015,,64.6171220169443
2015,Male,70.2773465067043
2015,Female,59.0676378903506
2016,,63.9850678270946
2016,Male,69.9587146265591
2016,Female,58.0222245984159
2017,,58.782508308861
2017,Male,64.4601358112938
2017,Female,52.9120087911341
2018,,56.8681925883802
2018,Male,62.1542944940165
2018,Female,51.2694185513805
2019,,55.1411976424404
2019,Male,59.80488717605
2019,Female,50.2752643708685
2020,,48.8031301949524
2020,Male,54.7358834672722
2020,Female,42.8211184649948
